Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Fiji,FJI,1999,Number of infant deaths,SH.DTH.IMRT,391
Fiji,FJI,1998,Number of infant deaths,SH.DTH.IMRT,398
Fiji,FJI,1997,Number of infant deaths,SH.DTH.IMRT,410
Fiji,FJI,1996,Number of infant deaths,SH.DTH.IMRT,423
Fiji,FJI,1995,Number of infant deaths,SH.DTH.IMRT,437
Fiji,FJI,1994,Number of infant deaths,SH.DTH.IMRT,456
Fiji,FJI,1993,Number of infant deaths,SH.DTH.IMRT,480
Fiji,FJI,1992,Number of infant deaths,SH.DTH.IMRT,506
Fiji,FJI,1991,Number of infant deaths,SH.DTH.IMRT,533
Fiji,FJI,1990,Number of infant deaths,SH.DTH.IMRT,555
Fiji,FJI,1989,Number of infant deaths,SH.DTH.IMRT,577
Fiji,FJI,1988,Number of infant deaths,SH.DTH.IMRT,601
Fiji,FJI,1987,Number of infant deaths,SH.DTH.IMRT,623
Fiji,FJI,1986,Number of infant deaths,SH.DTH.IMRT,646
Fiji,FJI,1985,Number of infant deaths,SH.DTH.IMRT,673
Fiji,FJI,1984,Number of infant deaths,SH.DTH.IMRT,694
Fiji,FJI,1983,Number of infant deaths,SH.DTH.IMRT,714
Fiji,FJI,1982,Number of infant deaths,SH.DTH.IMRT,734
Fiji,FJI,1981,Number of infant deaths,SH.DTH.IMRT,753
Fiji,FJI,1980,Number of infant deaths,SH.DTH.IMRT,770
Fiji,FJI,1979,Number of infant deaths,SH.DTH.IMRT,782
Fiji,FJI,1978,Number of infant deaths,SH.DTH.IMRT,787
Fiji,FJI,1977,Number of infant deaths,SH.DTH.IMRT,787
Fiji,FJI,1976,Number of infant deaths,SH.DTH.IMRT,781
Fiji,FJI,1975,Number of infant deaths,SH.DTH.IMRT,765
Fiji,FJI,1974,Number of infant deaths,SH.DTH.IMRT,755
Fiji,FJI,1973,Number of infant deaths,SH.DTH.IMRT,761
Fiji,FJI,1972,Number of infant deaths,SH.DTH.IMRT,774
Fiji,FJI,1971,Number of infant deaths,SH.DTH.IMRT,785
Fiji,FJI,1970,Number of infant deaths,SH.DTH.IMRT,792
Fiji,FJI,1969,Number of infant deaths,SH.DTH.IMRT,801
Fiji,FJI,1968,Number of infant deaths,SH.DTH.IMRT,810
Fiji,FJI,1967,Number of infant deaths,SH.DTH.IMRT,830
Fiji,FJI,1966,Number of infant deaths,SH.DTH.IMRT,857
Fiji,FJI,1965,Number of infant deaths,SH.DTH.IMRT,883
Fiji,FJI,1964,Number of infant deaths,SH.DTH.IMRT,916
Fiji,FJI,1963,Number of infant deaths,SH.DTH.IMRT,949
Fiji,FJI,1962,Number of infant deaths,SH.DTH.IMRT,967
Fiji,FJI,1961,Number of infant deaths,SH.DTH.IMRT,987
Fiji,FJI,1960,Number of infant deaths,SH.DTH.IMRT,1025
Fiji,FJI,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.944280241
Fiji,FJI,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.062153669
Fiji,FJI,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.134649311
Fiji,FJI,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.237715342
Fiji,FJI,2021,Number of under-five deaths,SH.DTH.MORT,501
Fiji,FJI,2020,Number of under-five deaths,SH.DTH.MORT,504
Fiji,FJI,2019,Number of under-five deaths,SH.DTH.MORT,502
Fiji,FJI,2018,Number of under-five deaths,SH.DTH.MORT,497
Fiji,FJI,2017,Number of under-five deaths,SH.DTH.MORT,493
Fiji,FJI,2016,Number of under-five deaths,SH.DTH.MORT,491
Fiji,FJI,2015,Number of under-five deaths,SH.DTH.MORT,486
Fiji,FJI,2014,Number of under-five deaths,SH.DTH.MORT,482
Fiji,FJI,2013,Number of under-five deaths,SH.DTH.MORT,478
Fiji,FJI,2012,Number of under-five deaths,SH.DTH.MORT,478
Fiji,FJI,2011,Number of under-five deaths,SH.DTH.MORT,484
Fiji,FJI,2010,Number of under-five deaths,SH.DTH.MORT,494
Fiji,FJI,2009,Number of under-five deaths,SH.DTH.MORT,502
Fiji,FJI,2008,Number of under-five deaths,SH.DTH.MORT,506
Fiji,FJI,2007,Number of under-five deaths,SH.DTH.MORT,504
Fiji,FJI,2006,Number of under-five deaths,SH.DTH.MORT,495
Fiji,FJI,2005,Number of under-five deaths,SH.DTH.MORT,485
Fiji,FJI,2004,Number of under-five deaths,SH.DTH.MORT,478
Fiji,FJI,2003,Number of under-five deaths,SH.DTH.MORT,470
Fiji,FJI,2002,Number of under-five deaths,SH.DTH.MORT,462
Fiji,FJI,2001,Number of under-five deaths,SH.DTH.MORT,458
Fiji,FJI,2000,Number of under-five deaths,SH.DTH.MORT,458
Fiji,FJI,1999,Number of under-five deaths,SH.DTH.MORT,462
Fiji,FJI,1998,Number of under-five deaths,SH.DTH.MORT,471
Fiji,FJI,1997,Number of under-five deaths,SH.DTH.MORT,485
Fiji,FJI,1996,Number of under-five deaths,SH.DTH.MORT,502
Fiji,FJI,1995,Number of under-five deaths,SH.DTH.MORT,520
Fiji,FJI,1994,Number of under-five deaths,SH.DTH.MORT,544
Fiji,FJI,1993,Number of under-five deaths,SH.DTH.MORT,573
Fiji,FJI,1992,Number of under-five deaths,SH.DTH.MORT,605
Fiji,FJI,1991,Number of under-five deaths,SH.DTH.MORT,637
Fiji,FJI,1990,Number of under-five deaths,SH.DTH.MORT,666
Fiji,FJI,1989,Number of under-five deaths,SH.DTH.MORT,694
Fiji,FJI,1988,Number of under-five deaths,SH.DTH.MORT,724
Fiji,FJI,1987,Number of under-five deaths,SH.DTH.MORT,752
Fiji,FJI,1986,Number of under-five deaths,SH.DTH.MORT,782
Fiji,FJI,1985,Number of under-five deaths,SH.DTH.MORT,815
